Title,File Name,RT Rating,Rating,Date,Genre,Actors
Great Outdoors,UNCLE BUCK + GREAT OUTDOORS,70%,PG,1988,Comedy,"Dan Aykroyd, John Candy, Stephanie Faracy, Annette Bening Robert Prosky, Chris Young"
Green Book,GREEN BOOK,91%,PG-13,2018,Comedy Drama,"Viggo Mortensen, Mahershaala Ali, Linda Cardellini"
Gremlins,GREMLINS,78%,PG,1984,Fantasy Horror,"Zach Galligan, Phoebe Cates, Hoyt Axton"
Groundhog Day,GROUNDHOG DAY,88%,PG,1993,Comedy,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Murray"
Grumpier Old Men,GRUMPIER OLD MEN 4GB,62%,PG-13,1995,Comedy,"Jack Lemmon, Walter Matthau, Ann Margret, Sophia Loren, Kevin Pollak"
Grumpy Old Men,GRUMPY OLD MEN 4GB,74%,PG-13,1993,Comedy,"Jack Lemmon, Walter Matthau, Ann Margret, Daryl Hannah"
Hacksaw Ridge,HACKSAW RIDGE,91%,R,2016,Drama War,"Andrew Garfield, Sam Worthington, Luke Bracey, teresa Palmer, Hugo Weaving, Rachel Griffiths"
Hail! Hail! Rock 'N' Roll (Chuck Berry),HAIL HAIL ROCK N ROLL,95%,PG,1987,Documentary,"Chuck Berry, Keith Richards, Eric Clapton"
Half Nelson,HALF NELSON,82%,R,2006,Drama,"Ryan Gosling, Shareeka Epps, Anthony Mackie"
Hancock,HANCOCK,59%,PG-13,2008,Comedy Action,"Will Smith, Charlize Theron, Jason Bateman"
Hangover,HANGOVER,84%,R,2009,Comedy,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha"
Happy Gilmore,HAPPY GILMORE,85%,PG-13,1996,Comedy,"Adam Sandler, Christopher McDonald, Julie Bowen"
Harriet,HARRIET,97%,PG-13,2019,Drama Biography,"Cynthia Erivo, Janelle Monae, Leslie Odom"
Harry Potter 1 - Sorcerer's Stone,HP 1 - SORCERER'S STONE,82%,PG,2001,Family Adventure,"Daniel Radcliffe, Rupert Grint, Emma Watson, John Cleese, Robbie Coltrane, Warwick Davis"
Harry Potter 2 - Chamber of Secrets,HP 2 - CHAMBER OF SECRETS,80%,PG,2002,Family Adventure,"Daniel Radcliffe, Rupert Grint, Emma Watson, Kenneth Brangh, John Cleese, Robbie Coltrane"
Harry Potter 3 - Prisoner of Azkaban,HP 3 - PRISONER OF AZKABAN,86%,PG,2004,Family Adventure,"Daniel Radcliffe, Rupert Grint, Emma Watson, Gary Oldman, David Thewlis, Michael Gambon"
Harry Potter 4 - Goblet of Fire,HP 4 - GOBLET OF FIRE,74%,PG-13,2005,Adventure Fantasy,"Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane Ralph Fiennes, Michael Gambon"
Harry Potter 5 - Order of Phoenix,HP 5 - ORDER OF PHOENIX,81%,PG-13,2007,Adventure Fantasy,"Daniel Radcliffe, Rupert Grint, Emma Watson, Helena Bonham Carter, Robbie Coltrane, Michael Gambon"
Harry Potter 6 - Half-Blood Prince,HP 6 - HALF-BLOOD PRINCE,78%,PG,2009,Family Adventure,"Daniel Radcliffe, Rupert Grint, Emma Watson, Helena Bonham Carter, Jim Broadbent, Robbie Coltrane"
Harry Potter 7 - Deathly Hallows Part 1,HP 7 - DEATHLY HALLOWS PART 1,85%,PG-13,2010,Adventure Fantasy,"Daniel Radcliffe, Rupert Grint, Emma Watson, Ralph Fiennes, Alan Rickman, Robbie Coltrane"
Harry Potter 8 - Deathly Hallows Part 2,HP 8 - DEATHLY HALLOWS PART 2,89%,PG-13,2011,Adventure Fantasy,"Daniel Radcliffe, Rupert Grint, Emma Watson, Ralph Fiennes, Alan Rickman, Robbie Coltrane"
Here Comes the Boom,HERE COMES THE BOOM,65%,PG,2012,Comedy Action,"Kevin James, Salma Hayek, Henry Winkler, Greg Germann, Joe Rogan"
Hidden Figures,HIDDEN FIGURES,93%,PG,2016,Drama History,"Octavia Spencer, Janelle Monae, Taraji P Henson"
Hitch,HITCH,62%,PG-13,2005,Comedy Romance,"Will Smith, Eva Mendes, Kevin James, Amber Valletta"
Hocus Pocus,HOCUS POCUS 4GB,71%,PG,1993,Family Comedy,"Bete Midler, Sarah Jessica Parker, Kathy Najimy"
Home Alone,HOME ALONE,80%,PG,1990,Christmas Comedy Family,"Macaulay Culkin, Joe Pesci, Daniel Stern"
Home Alone 2,HOME ALONE 2 4GB,62%,PG,1992,Christmas Comedy Family,"Macaulay Culkin, Joe Pesci, Daniel Stern"
Hoosiers,HOOSIERS 4GB,88%,PG,1986,Drama,"Gene Hackman, Barbara Hershey, Dennis Hopper, Sheb Wooley"
