Title,File Name,RT Rating,Rating,Date,Genre,Actors
Waiting for Guffman,WAITING FOR GUFFMAN 4GB,91%,R,1996,Comedy,"Christopher Guest, Eugene Levy, Fred Willard"
Waitress,WAITRESS,74%,PG-13,2007,Comedy Drama,"Keri Russell, Nathan Fillion, Cheryl Hines"
Waking Ned Devine,WAKING NED DEVINE,88%,PG,1998,Comedy,"Ian Bannen, David Kelly, Fionnula Flanagan, Susan Lynch, James Nesbitt"
Walk Hard - The Dewey Cox Story,WALK HARD - THE DEWEY COX STORY,57%,R,2007,Comedy,"John C Reilly, Jenna Fischer, Raymond J Barry"
Walk the Line,WALK THE LINE,90%,PG-13,2005,Drama Biography,"Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin"
Wall Street,WALL STREET,81%,R,1987,Drama,"Michael Douglas, Charlie Sheen, Martin Sheen"
Wall Street: Money Never Sleeps,WALL STREET MONEY NEVER SLEEPS,44%,PG-13,2010,Drama,"Michael Douglas, Shia laBeouf, Josh Brolin, Carey Mulligan, Eli Wallach, Susan Sarandon"
War for the Planet of the Apes,WAR FOR PLANET OF THE APES,84%,PG-13,2017,Action Adventure,"Andy Serkis, Woody Harrelso, Steve Zahn"
War Horse,WAR HORSE,74%,PG-13,2011,Drama War,"Emily Watson, David Thewlis, Jeremy Irvine"
Waterboy,WATERBOY 4GB,71%,PG-13,1998,Comedy,"Adam Sandler, Kathy Bates, Henry Winkler, Fairuza Bulk, Jerry Reed"
We Are Marshall,WE ARE MARSHALL,79%,PG,2006,Drama,"Matthew McConaughhey, Matthew Fox, Ian McShane, Anthony Mackie, Kate Mara, David Strathairn"
We Were Soldiers,WE WERE SOLDIERS,84%,R,2002,Drama War,"Mel Gibson, Madeleine Stowe, Greg Kinnear"
Wedding Crashers,WEDDING CRASHERS,70%,R,2005,Comedy,"Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams, Isla Fisher, Jane Seymour, Keir O'Donnell, Bradley Cooper, Henry Gibson"
Wedding Singer,WEDDING SINGER 4GB,80%,PG-13,1998,Comedy Romance,"Adam Sandler, Drew Barrymore, Christine Taylor"
What About Bob?,WHAT ABOUT BOB 4GB,79%,PG,1991,Comedy,"Bill Murray. Richard Dreyfuss, Julie Hagerty, Charlie Korsmo, Kathryn Erbe, Tom Aldredge"
Whiplash,WHIPLASH,94%,R,2014,Drama Music,"Miles Teller, JK Simmons, Melissa Benoist"
White Christmas,WHITE CHRISTMAS,88%,NR,1954,Christmas Comedy Family,"Bing Crosby, Danny Kaye, Rosemary Clooney"
White House Down,WHITE HOUSE DOWN,62%,PG-13,2013,Action Mystery,"Channing Tatum, Jamie Fox, Maggie Gyllenhaal"
Wild Hogs,WILD HOGS,61%,PG-13,2007,Comedy,"Tim Allen, John Travolta, Martin Lawrence"
Win Win,WIN WIN,85%,R,2011,Comedy Drama,"Paul Giamatti, Amy Ryan, Bobby Cannavale"
You Don't Mess with the Zohan,YOU DON'T MESS WITH THE ZOHAN,45%,PG-13,2008,Comedy,"Adam Sandler, John Turturro, Emmanuelle Chriqui"
"You, Me and Dupree","YOU, ME AND DUPREE",50%,PG-13,2006,Comedy,"Owen Wilson, Kate Hudson, Matt Dillion"
Young Frankenstein,YOUNG FRANKENSTEIN,92%,PG,1974,Comedy,"Gene Wilder, Peter Boyle, Cloris Leachman, Marty Feldman, Madeline Kahn, Teri Garr"
You're Welcome America,YOU'RE WELCOME AMERICA,62%,NR,2009,Comedy,"Will Ferrell, Michael Delaney, Pia Glen"
You've Got Mail,YOU'VE GOT MAIL 4GB,73%,PG,1998,Comedy Romance,"Tom Hanks, Meg Ryan, Parker Posey"
Zach Galifianakis: Live at the Purple Onion,ZACH GALIFIANAKIS 4GB,76%,NR,2007,Stand-up Comedy,"Zach Galifianakis, Owen Wilson, Kristen Wiig"
Zoolander,ZOOLANDER,80%,PG-13,2001,Comedy,"Ben Stiller, Owen Wilson, Will Ferrell"
Zoolander 2,ZOOLANDER 2,20%,PG-13,2016,Comedy,"Ben Stiller, Owen Wilson, Will Ferrell"
